"stratum","source_article","source_year","outcome_slug","dataset_id","analysis_variant","n_studies","mu_RE","mu_BC","attenuation_pct","shrink50","sign_flip","log10BF_effect","log10BF_het","log10BF_bias","log10BF_no_bias","log10BF_rigor","rigor_direction","rigor_category","rigor_margin","log10BF_rigor_effect","log10BF_rigor_no_effect","ODR","EDR","Soric_FDR","MissingN"
"diet","riosleyvraz2020",2020,"nns_body_weight","riosleyvraz2020_diet_nns_body_weight","main",29,0.322664020251603,0.119585662701176,-62.9380237040601,TRUE,FALSE,-0.018706507350384,Inf,0.250003142220823,-0.250003142220823,0.123866565432521,"effect","inconclusive_clean_evidence",0.900842623128921,0.123866565432521,-0.7769760576964,0.38,0.474478313785623,0.0582935727942736,0
"protein","wycherley2010",2010,"lean_body_mass","wycherley2010_protein_lean_body_mass","main",17,0.228163980957668,0.111360622772043,-51.1927245025129,TRUE,FALSE,0.153703391584883,-0.0930032896752475,0.270819280214609,-0.270819280214609,0.110246880175415,"effect","inconclusive_clean_evidence",0.926420486194826,0.110246880175415,-0.816173606019411,0.29,0.0937404978293139,0.508828919025873,0
"fiber","silva2013",2013,"fasting_glucose","silva2013_fiber_fasting_glucose","main",10,0.400816765833608,0.146781727519066,-63.3793443710386,TRUE,FALSE,-0.0736003689788375,Inf,-0.0959329721417446,0.0959329721417446,0.0995195525224911,"effect","inconclusive_clean_evidence",0.0774847060779777,0.0995195525224911,0.0220348464445134,0.4,0.56752935442381,0.040106494541514,0
"omega3","hu2019",2019,"cardiovascular_disease_death","hu2019_omega3_cardiovascular_disease_death","main",11,0.0361210802080165,0.00499149245325602,-86.1812204272113,TRUE,FALSE,-0.763054713394549,-0.679054794070372,0.197127314506865,-0.197127314506865,0.0968730973310482,"no_effect","inconclusive_clean_evidence",0.602055045504986,-0.505181948173938,0.0968730973310482,0.18,0.0500000000000001,1,0
"diet","laviadamolina2020",2020,"nns_body_weight","laviadamolina2020_diet_nns_body_weight","main",20,0.533308080871324,0.254860464791139,-52.2114001395318,TRUE,FALSE,0.266429273983965,2.8637434562553,0.384090364380066,-0.384090364380066,0.0923307910725358,"effect","inconclusive_clean_evidence",3.0921860021124,0.0923307910725358,-2.99985521103986,0.5,0.440520033006653,0.0668444381439489,0
"omega3","bloch2012",2012,"depression_excl","bloch2012_omega3_depression_excl","exclusion_sensitivity",12,0.158825226701731,-0.016269855585512,-110.243873673838,TRUE,TRUE,-0.422749513411044,1.55674907610936,0.19353514933689,-0.19353514933689,0.0862199467061178,"no_effect","inconclusive_clean_evidence",0.556786050561076,-0.470566103854958,0.0862199467061178,0.33,0.259630093681156,0.150085980659843,0
"fiber","streppel2005",2005,"systolic_bp","streppel2005_fiber_systolic_bp","main",25,0.107864182047311,0.0166191116232562,-84.5925576889214,TRUE,FALSE,-0.543454068971041,0.489642183092504,0.147736664318076,-0.147736664318076,0.0576395356247204,"no_effect","inconclusive_clean_evidence",0.368648271254486,-0.311008735629766,0.0576395356247204,0.16,0.147923809075791,0.303170373449896,0
"creatine","lanhers2015",2015,"leg_press_strength","lanhers2015_creatine_leg_press_strength","main",16,0.292506481166061,0.0985333004654895,-66.3141479557335,TRUE,FALSE,-0.0710348035436623,-0.345931843529978,0.345256173643444,-0.345256173643444,0.0529158207894839,"effect","inconclusive_clean_evidence",0.984362560879026,0.0529158207894839,-0.931446740089542,0.06,0.0567413260608984,0.874938904690981,0
"creatine","devries2014",2014,"fat_free_mass","devries2014_creatine_fat_free_mass","main",9,1.18030908318137,0.68014072377181,-42.3760493362824,FALSE,FALSE,0.509058072246942,Inf,0.412618965127013,-0.412618965127013,0.052551495233457,"effect","inconclusive_clean_evidence",1.83267233848001,0.052551495233457,-1.78012084324655,0.67,0.611403753450033,0.0334516003770443,0
"protein","milne2006",2006,"mortality","milne2006_protein_mortality","main",9,0.245404625637399,0.0871757035610393,-64.4767480096944,TRUE,FALSE,-0.0806040148573329,-0.243606869307104,0.247428954589963,-0.247428954589963,0.0469232547498304,"effect","inconclusive_clean_evidence",0.571956124224467,0.0469232547498304,-0.525032869474637,0.11,0.0721645223920279,0.676696042576584,0
"vitamind","chen2024",2024,"homa_ir_excl","chen2024_vitamind_homa_ir_excl","exclusion_sensitivity",15,0.191680360337608,0.0684236401416645,-64.3032598534615,TRUE,FALSE,-0.117802816356761,0.672413951139363,0.217160797180325,-0.217160797180325,0.0453824752566325,"effect","inconclusive_clean_evidence",0.487762833614435,0.0453824752566325,-0.442380358357802,0.2,0.168873898836002,0.259030432852739,0
"fiber","post2012",2012,"hba1c","post2012_fiber_hba1c","main",10,0.290879531610341,0.107427555811718,-63.0680250284414,TRUE,FALSE,-0.0351681049817742,-0.0855127390202897,0.270118530682965,-0.270118530682965,0.0426616332574002,"effect","inconclusive_clean_evidence",0.623491844648566,0.0426616332574002,-0.580830211391166,0.2,0.0817731889497273,0.59099722026874,0
